o_cbg,d_cbg,flow_w,Predict_flow
270370608122.0,270370608183.0,2.0,0.0
270030501091.0,270030508091.0,2.0,0.0
271230424012.0,271630707011.0,4.0,0.0
271630706022.0,271630711013.0,2.0,0.0
270030507104.0,271230304003.0,2.0,0.0
270530266121.0,270530265092.0,4.0,0.0
270530240033.0,270531037003.0,2.0,0.0
270530240043.0,270370607172.0,2.0,0.0
270530268144.0,270530268231.0,2.0,0.0
270030512061.0,270530216013.0,2.0,0.0
270030511011.0,270030506104.0,2.0,0.0
270370607452.0,270370608281.0,3.0,0.0
270030502082.0,270030506062.0,3.0,0.0
270030502082.0,270030507115.0,4.0,9.0
270030504023.0,270030505014.0,2.0,0.0
271630710062.0,271630712063.0,4.0,0.0
271230406043.0,271230424011.0,2.0,0.0
270030507043.0,270030506081.0,2.0,0.0
270370607112.0,270530257025.0,2.0,0.0
271630710152.0,271630704031.0,2.0,0.0
270030502242.0,270530269092.0,2.0,0.0
270370607093.0,271390803011.0,2.0,0.0
270030502152.0,270030502351.0,3.0,0.0
270030508051.0,270030507103.0,2.0,0.0
270190903021.0,270190904022.0,14.0,0.0
270530267105.0,270530267082.0,6.0,0.0
270370611052.0,271630710181.0,2.0,0.0
270030506101.0,270530241003.0,2.0,0.0
271230403023.0,271230424011.0,2.0,0.0
270030504012.0,270030502242.0,4.0,45.0
270190907012.0,271230412003.0,2.0,0.0
270530268183.0,270530268184.0,2.0,2.0
271230424024.0,271230424022.0,2.0,0.0
270530270022.0,270530270023.0,2.0,0.0
271230413021.0,270530260203.0,2.0,0.0
270030501142.0,270030502172.0,3.0,0.0
270370607251.0,270370607253.0,2.0,0.0
270030506021.0,270030506082.0,2.0,10.0
270530265141.0,270530266131.0,2.0,0.0
270030512031.0,270530268123.0,3.0,0.0
270030502282.0,270030501161.0,3.0,0.0
270030502152.0,270030508161.0,5.0,0.0
270530223023.0,270530257023.0,2.0,0.0
270030508163.0,270030508161.0,6.0,0.0
271230406013.0,270539800001.0,2.0,0.0
270530264043.0,270530265144.0,4.0,0.0
270030506021.0,270030508131.0,4.0,0.0
270530223023.0,270530273001.0,2.0,0.0
270530264042.0,270530265052.0,2.0,0.0
270370605071.0,270370605034.0,3.0,0.0
270030504021.0,270370608173.0,2.0,0.0
271630707011.0,271630702062.0,2.0,0.0
270190908001.0,270190905011.0,2.0,0.0
270370608142.0,270370610012.0,2.0,0.0
270530262062.0,271390809042.0,2.0,0.0
270370608131.0,271390811001.0,3.0,0.0
270030504021.0,270030502212.0,2.0,0.0
270370608122.0,270370607351.0,2.0,0.0
270370607171.0,271630701032.0,2.0,0.0
270370608132.0,271630710062.0,2.0,0.0
270530207001.0,270530215031.0,2.0,0.0
270370607171.0,270370611052.0,5.0,0.0
270030507061.0,270030508051.0,2.0,0.0
270370601042.0,270531012002.0,2.0,0.0
270531060002.0,270530059021.0,2.0,0.0
270530268144.0,270030508112.0,2.0,0.0
270530268183.0,270530266121.0,2.0,0.0
270530268123.0,270370608261.0,2.0,0.0
271630705024.0,270530120014.0,2.0,0.0
271230374023.0,271230347013.0,2.0,0.0
270030508064.0,270530204001.0,3.0,0.0
270030508051.0,270030508213.0,6.0,0.0
270030502371.0,270030502351.0,2.0,0.0
270530267141.0,270530267022.0,3.0,0.0
270530204001.0,270530268123.0,4.0,0.0
270030508111.0,270030511011.0,2.0,0.0
270370608174.0,270370608063.0,2.0,0.0
270530236002.0,270530272031.0,2.0,0.0
271390811004.0,270370608203.0,3.0,0.0
270370607171.0,270530251003.0,3.0,0.0
270030508054.0,270030507061.0,2.0,0.0
271230310001.0,271230317024.0,2.0,0.0
270530203043.0,270530268233.0,2.0,0.0
271630706023.0,271630705012.0,2.0,0.0
270370607281.0,270370607271.0,2.0,0.0
271230311003.0,271230306024.0,3.0,0.0
270370607171.0,270370608132.0,2.0,0.0
270370607412.0,270370607371.0,3.0,0.0
271230305003.0,271230316003.0,3.0,0.0
270030508131.0,270030508102.0,2.0,0.0
270030504023.0,270030506101.0,2.0,0.0
271630704041.0,271230412002.0,2.0,0.0
270530275011.0,270530275013.0,3.0,0.0
271630710153.0,271230425012.0,2.0,0.0
270190909004.0,270190901001.0,2.0,0.0
270530239033.0,270530276026.0,2.0,0.0
270530219001.0,270530215051.0,2.0,0.0
270030501093.0,270030501082.0,4.0,0.0
270370607271.0,270370608174.0,3.0,0.0
270190908002.0,271630710181.0,2.0,0.0
270530240051.0,270530237004.0,2.0,0.0
270190907012.0,271630710103.0,2.0,0.0
270370607171.0,271230367002.0,2.0,0.0
270530265071.0,270530271011.0,4.0,0.0
271230421014.0,271230311003.0,2.0,0.0
270030502261.0,270030502281.0,9.0,0.0
270030501071.0,270030508064.0,2.0,0.0
270030508051.0,270030508183.0,2.0,0.0
270539800001.0,271230307032.0,2.0,0.0
270370608122.0,270370609061.0,3.0,0.0
270190910001.0,270190911002.0,2.0,0.0
270030502171.0,270030502082.0,5.0,0.0
270370607142.0,270370608122.0,2.0,0.0
270530027001.0,270530022002.0,4.0,0.0
270370605071.0,270370605091.0,2.0,6.0
270370607162.0,270370610011.0,2.0,0.0
270370607211.0,271630712063.0,2.0,0.0
270030508064.0,270030501093.0,2.0,0.0
270030502204.0,270030506081.0,4.0,0.0
270530233002.0,270530260073.0,4.0,0.0
270370605054.0,270370605034.0,2.0,0.0
270530267105.0,270530268144.0,2.0,0.0
270030502291.0,270030502332.0,2.0,0.0
270030501081.0,270030501111.0,4.0,0.0
270370605091.0,270370603011.0,3.0,0.0
271230403011.0,271230404022.0,4.0,0.0
270370608061.0,270370607451.0,2.0,0.0
271630709102.0,271630709112.0,2.0,11.0
270530271011.0,270530267153.0,3.0,0.0
270370605061.0,270370605053.0,2.0,0.0
270530260202.0,271390813003.0,3.0,0.0
270190905021.0,270190903021.0,4.0,0.0
270530240041.0,270530254013.0,2.0,0.0
270530215021.0,270530215032.0,2.0,0.0
270370607111.0,270370608211.0,6.0,0.0
270530256011.0,270530256034.0,3.0,0.0
270530216022.0,270530223023.0,2.0,0.0
270530260071.0,270190901004.0,2.0,0.0
271630701032.0,270030502102.0,2.0,0.0
271230307022.0,271230347013.0,2.0,0.0
270030508162.0,270030509021.0,2.0,5.0
270030502281.0,270030502204.0,3.0,0.0
270370601041.0,270370607211.0,2.0,0.0
271230413021.0,271230311003.0,2.0,0.0
270370608263.0,270370610041.0,2.0,0.0
270190910004.0,270190908005.0,3.0,0.0
271630710101.0,271630710122.0,2.0,0.0
270530264043.0,270190903013.0,2.0,0.0
270370607411.0,270370607412.0,6.0,0.0
271630705012.0,271630704061.0,2.0,0.0
271230411041.0,271230411061.0,2.0,0.0
270030508163.0,271630702031.0,3.0,0.0
270030504011.0,270030505053.0,2.0,0.0
270030502331.0,270030502101.0,2.0,20.0
270370608203.0,270370608122.0,2.0,0.0
270530260202.0,271390808002.0,4.0,0.0
271230424011.0,270370603014.0,2.0,0.0
270370610031.0,270370605091.0,2.0,0.0
270530265092.0,270530266124.0,5.0,0.0
271230408011.0,271230408012.0,2.0,0.0
271230305001.0,271230305003.0,2.0,0.0
270370608221.0,271230303006.0,2.0,0.0
271630701062.0,271630701032.0,2.0,0.0
270530251002.0,270530256034.0,2.0,0.0
270531044002.0,271630710061.0,2.0,0.0
270370608191.0,270370609021.0,2.0,0.0
270370608143.0,270370608113.0,2.0,0.0
270030508091.0,270030508161.0,3.0,0.0
270030502082.0,270030505042.0,3.0,0.0
270190904022.0,270190907012.0,9.0,0.0
271230316003.0,271230426012.0,2.0,0.0
271390802021.0,270370607451.0,2.0,0.0
270370605061.0,271630710103.0,2.0,0.0
271230305003.0,271230327002.0,2.0,0.0
270370607331.0,270531044002.0,2.0,0.0
270370608281.0,270370607451.0,4.0,0.0
270530268183.0,270530204002.0,2.0,0.0
271230347022.0,271630710171.0,2.0,0.0
270190906011.0,270530259061.0,4.0,0.0
270530229013.0,270530274002.0,2.0,0.0
270530262011.0,270530274003.0,2.0,0.0
270530269064.0,270530268204.0,5.0,0.0
270530252012.0,270530253023.0,4.0,0.0
270190905021.0,270530262051.0,2.0,0.0
270370608122.0,270370615021.0,2.0,0.0
270530232001.0,270530260073.0,2.0,0.0
270530251002.0,270539800001.0,7.0,0.0
270190903011.0,270190905011.0,2.0,0.0
270030502081.0,270030502082.0,19.0,0.0
270030502301.0,271230405042.0,3.0,0.0
270030509023.0,270030508135.0,3.0,0.0
270530208041.0,270530265101.0,3.0,0.0
270370607262.0,270370610071.0,4.0,0.0
270530244002.0,270530266063.0,2.0,0.0
270370608181.0,270370607451.0,3.0,0.0
270530216012.0,270530216021.0,4.0,0.0
270030507112.0,270030508091.0,2.0,0.0
271630710171.0,271630710101.0,2.0,0.0
270030502341.0,270030501102.0,3.0,0.0
270370607451.0,271390802032.0,6.0,0.0
270370610071.0,270370610041.0,4.0,0.0
270030504012.0,270030504021.0,5.0,5.0
271230334001.0,271230306012.0,2.0,0.0
270030508064.0,271230404022.0,2.0,0.0
270370610071.0,270370610042.0,4.0,0.0
270030508064.0,271630710171.0,2.0,0.0
270370601042.0,270370608242.0,4.0,0.0
270530260192.0,270190909004.0,6.0,0.0
270030502281.0,270530267141.0,3.0,0.0
270030501154.0,270030501101.0,2.0,0.0
270530240041.0,270530253023.0,2.0,0.0
270030508131.0,271230403011.0,2.0,0.0
270530264031.0,270530269093.0,2.0,0.0
271230406033.0,271230405021.0,2.0,0.0
270030512032.0,270530017002.0,2.0,0.0
270030502151.0,270030508092.0,2.0,0.0
271230403021.0,271630703045.0,3.0,0.0
270530268123.0,270030506091.0,2.0,0.0
270370608131.0,270370608201.0,2.0,0.0
270530267081.0,270530267083.0,2.0,8.0
270030502301.0,271230311003.0,2.0,0.0
270530240041.0,270370607392.0,2.0,0.0
270190907013.0,270190904012.0,6.0,0.0
271630709102.0,271630710151.0,2.0,0.0
270530267161.0,270530267152.0,3.0,0.0
270530267081.0,270530271011.0,3.0,0.0
271230424012.0,270531261003.0,2.0,0.0
270530269062.0,270530268123.0,2.0,0.0
270030501094.0,270030501091.0,2.0,0.0
270370607112.0,270370608151.0,14.0,0.0
270030508064.0,270030512061.0,2.0,0.0
270030508102.0,270030502331.0,2.0,0.0
270370608281.0,270370608221.0,2.0,0.0
270030508054.0,270030508061.0,2.0,0.0
271630709102.0,271630704052.0,3.0,0.0
270370608151.0,270370607391.0,2.0,0.0
271390805001.0,271390806001.0,2.0,0.0
270370611072.0,270370611082.0,2.0,0.0
270530216012.0,270530262012.0,2.0,0.0
271230305003.0,271230306024.0,2.0,0.0
270530267105.0,270530270012.0,2.0,0.0
270530269092.0,270030504022.0,3.0,0.0
